k;0.367
f;0.02
ke;0.858
max H2;16.3147
max Q;442.433
oscillation t;105

time;Q;H1;H2
151.571;392.74;22.7193;9.65586
151.938;393.577;22.709;9.66616
152.305;394.394;22.6987;9.67649
152.672;395.193;22.6883;9.68684
153.039;395.974;22.678;9.69721
153.406;396.736;22.6676;9.7076
153.773;397.481;22.6572;9.71801
154.14;398.208;22.6467;9.72844
154.507;398.918;22.6363;9.73889
154.874;399.611;22.6258;9.74936
155.241;400.287;22.6153;9.75984
155.608;400.947;22.6048;9.77034
155.975;401.591;22.5943;9.78086
156.342;402.219;22.5838;9.7914
156.709;402.831;22.5732;9.80195
157.076;403.428;22.5627;9.81252
157.443;404.01;22.5521;9.8231
157.81;404.577;22.5415;9.8337
158.177;405.13;22.5309;9.84431
158.544;405.668;22.5202;9.85494
158.911;406.192;22.5096;9.86558
159.278;406.702;22.4989;9.87624
159.645;407.199;22.4883;9.8869
160.012;407.682;22.4776;9.89758
160.379;408.152;22.4669;9.90828
160.746;408.609;22.4562;9.91898
161.113;409.053;22.4455;9.9297
161.48;409.484;22.4348;9.94043
161.847;409.904;22.424;9.95117
162.214;410.311;22.4133;9.96192
162.581;410.706;22.4025;9.97268
162.948;411.09;22.3917;9.98345
163.315;411.462;22.381;9.99423
163.682;411.823;22.3702;10.005
164.049;412.173;22.3594;10.0158
164.416;412.511;22.3486;10.0266
164.783;412.839;22.3377;10.0375
165.15;413.157;22.3269;10.0483
165.517;413.464;22.3161;10.0591
165.884;413.761;22.3052;10.07
166.251;414.048;22.2944;10.0808
166.618;414.325;22.2835;10.0917
166.985;414.592;22.2727;10.1025
167.352;414.85;22.2618;10.1134
167.719;415.099;22.2509;10.1243
168.086;415.56;22.24;10.1352
168.453;416.228;22.2291;10.1461
168.82;416.881;22.2182;10.157
169.187;417.518;22.2073;10.1679
169.554;418.14;22.1963;10.1789
169.921;418.747;22.1853;10.1898
170.288;419.34;22.1744;10.2008
170.655;419.918;22.1634;10.2118
171.022;420.482;22.1523;10.2228
171.389;421.033;22.1413;10.2339
171.756;421.569;22.1303;10.2449
172.123;422.092;22.1192;10.256
172.49;422.602;22.1081;10.267
172.857;423.098;22.097;10.2781
173.224;423.582;22.086;10.2892
173.591;424.053;22.0748;10.3003
173.958;424.511;22.0637;10.3115
174.325;424.957;22.0526;10.3226
174.692;425.391;22.0414;10.3337
175.059;425.813;22.0303;10.3449
175.426;426.223;22.0191;10.3561
175.793;426.621;22.0079;10.3672
176.16;427.008;21.9967;10.3784
176.527;427.383;21.9855;10.3896
176.894;427.748;21.9743;10.4008
177.261;428.101;21.9631;10.4121
177.628;428.444;21.9519;10.4233
177.995;428.776;21.9407;10.4345
178.362;429.098;21.9294;10.4458
178.729;429.41;21.9182;10.457
179.096;429.711;21.9069;10.4683
179.463;430.002;21.8956;10.4796
179.83;430.284;21.8844;10.4908
180.197;430.556;21.8731;10.5021
180.564;430.818;21.8618;10.5134
180.931;431.071;21.8505;10.5247
181.298;431.315;21.8392;10.536
181.665;431.55;21.8279;10.5473
182.032;431.776;21.8166;10.5586
182.399;431.993;21.8052;10.5699
182.766;432.201;21.7939;10.5813
183.133;432.401;21.7826;10.5926
183.5;432.593;21.7712;10.6039
183.867;432.776;21.7599;10.6153
184.234;432.951;21.7486;10.6266
184.601;433.118;21.7372;10.638
184.968;433.277;21.7258;10.6493
185.335;433.428;21.7145;10.6607
185.702;433.572;21.7031;10.6721
186.069;433.708;21.6918;10.6834
186.436;433.837;21.6804;10.6948
186.803;433.959;21.669;10.7062
187.17;434.073;21.6576;10.7176
187.537;434.181;21.6462;10.7289
187.904;434.281;21.6349;10.7403
188.271;434.375;21.6235;10.7517
188.638;434.461;21.6121;10.7631
189.005;434.542;21.6007;10.7745
189.372;434.615;21.5893;10.7859
189.739;434.683;21.5779;10.7973
190.106;434.744;21.5665;10.8087
190.473;434.798;21.5551;10.8201
190.84;434.847;21.5437;10.8315
191.207;434.889;21.5323;10.8429
191.574;434.926;21.5209;10.8543
191.941;434.957;21.5095;10.8657
192.308;435.151;21.4981;10.8771
192.675;435.503;21.4867;10.8885
193.042;435.844;21.4753;10.8999
193.409;436.176;21.4639;10.9113
193.776;436.497;21.4524;10.9228
194.143;436.808;21.441;10.9342
194.51;437.11;21.4295;10.9457
194.877;437.401;21.4181;10.9571
195.244;437.683;21.4066;10.9686
195.611;437.956;21.3951;10.9801
195.978;438.219;21.3836;10.9916
196.345;438.473;21.3721;11.0031
196.712;438.717;21.3606;11.0146
197.079;438.953;21.3491;11.0261
197.446;439.18;21.3376;11.0376
197.813;439.398;21.3261;11.0491
198.18;439.608;21.3146;11.0606
198.547;439.809;21.3031;11.0721
198.914;440.002;21.2915;11.0837
199.281;440.186;21.28;11.0952
199.648;440.363;21.2684;11.1067
200.015;440.531;21.2569;11.1183
200.382;440.692;21.2453;11.1298
200.749;440.844;21.2338;11.1414
201.116;440.989;21.2222;11.1529
201.483;441.126;21.2107;11.1645
201.85;441.256;21.1991;11.1761
202.217;441.379;21.1875;11.1876
202.584;441.494;21.176;11.1992
202.951;441.602;21.1644;11.2108
203.318;441.703;21.1528;11.2224
203.685;441.797;21.1412;11.2339
204.052;441.884;21.1297;11.2455
204.419;441.964;21.1181;11.2571
204.786;442.038;21.1065;11.2687
205.153;442.105;21.0949;11.2803
205.52;442.166;21.0833;11.2919
205.887;442.22;21.0717;11.3035
